Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationNatCode,AirQualityStationEoICode,AirQualityStationArea,SamplingPoint,SamplingProcess,Sample,BuildingDistance,EquivalenceDemonstrated,InletHeight,KerbDistance,MeasurementEquipment,MeasurementType,MeasurementMethod,AirPollutantCode,AirPollutant,AirQualityStationType,Projection,Longitude,Latitude,Altitude
AD,AD.GovernAndorra.AQ,NET-AD001A,STA-AD0942A,942,AD0942A,urban,SPO-AD0942A-0001,SPP-AD0942A-0001-API100E,SAM-AD0942A-0001,6,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/UV-FL,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,SO2,background,EPSG:4979,1.539138,42.50969399946506,1080
AD,AD.GovernAndorra.AQ,NET-AD001A,STA-AD0942A,942,AD0942A,urban,SPO-AD0942A-0005,SPP-AD0942A-0005-TEOM1400A,SAM-AD0942A-0005,6,no,2.5,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1400A,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/TEOM,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,PM10,background,EPSG:4979,1.539138,42.50969399946506,1080
AD,AD.GovernAndorra.AQ,NET-AD001A,STA-AD0942A,942,AD0942A,urban,SPO-AD0942A-0007,SPP-AD0942A-0007-API400E,SAM-AD0942A-0007,6,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API400E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/UV-P,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,O3,background,EPSG:4979,1.539138,42.50969399946506,1080
AD,AD.GovernAndorra.AQ,NET-AD001A,STA-AD0942A,942,AD0942A,urban,SPO-AD0942A-0008,SPP-AD0942A-0008-API200E,SAM-AD0942A-0008,6,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API200E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/chemi,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,NO2,background,EPSG:4979,1.539138,42.50969399946506,1080
AD,AD.GovernAndorra.AQ,NET-AD001A,STA-AD0942A,942,AD0942A,urban,SPO-AD0942A-0009,SPP-AD0942A-0009-API200E,SAM-AD0942A-0009,6,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API200E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/chemi,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/9,NOX as NO2,background,EPSG:4979,1.539138,42.50969399946506,1080
AD,AD.GovernAndorra.AQ,NET-AD001A,STA-AD0942A,942,AD0942A,urban,SPO-AD0942A-0010,SPP-AD0942A-0010-API300E,SAM-AD0942A-0010,6,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API300E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/NDIR,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,CO,background,EPSG:4979,1.539138,42.50969399946506,1080
AD,AD.GovernAndorra.AQ,NET-AD001A,STA-AD0942A,942,AD0942A,urban,SPO-AD0942A-0038,SPP-AD0942A-0038-API200E,SAM-AD0942A-0038,6,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API200E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/chemi,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38,NO,background,EPSG:4979,1.539138,42.50969399946506,1080
AD,AD.GovernAndorra.AQ,NET-AD001A,STA-AD0944A,944,AD0944A,rural,SPO-AD0944A-0007,SPP-AD0944A-0007-API400E,SAM-AD0944A-0007,-999,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API400E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/UV-P,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,O3,background,EPSG:4979,1.5652500000000003,42.51694399946504,1637
AD,AD.GovernAndorra.AQ,NET-AD001A,STA-AD0945A,945,AD0945A,rural,SPO-AD0945A-0007,SPP-AD0945A-0007-API400E,SAM-AD0945A-0007,-999,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API400E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/UV-P,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,O3,background,EPSG:4979,1.7169859999999997,42.53488299946501,2515
AL,AL.AEF.AQ,NET-AL001A,STA-AL0203A,AL150A01,AL0203A,suburban,SPO-AL0203A_00001_100,SPP-AL_A_UV-FL_API100E,SPO_F-AL0203A_00001_100_100,-999,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/UV-FL,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,SO2,background,EPSG:4979,20.78018,40.62593,848
AL,AL.AEF.AQ,NET-AL001A,STA-AL0203A,AL150A01,AL0203A,suburban,SPO-AL0203A_00005_100,SPP-AL_A_light-scat_GRIMM-EDM180,SPO_F-AL0203A_00005_100_100,-999,noRef,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/GRIMM-EDM180,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/light-scat,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,PM10,background,EPSG:4979,20.78018,40.62593,848
AL,AL.AEF.AQ,NET-AL001A,STA-AL0203A,AL150A01,AL0203A,suburban,SPO-AL0203A_00007_100,SPP-AL_A_UV-P_API400E,SPO_F-AL0203A_00007_100_100,-999,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API400E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/UV-P,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,O3,background,EPSG:4979,20.78018,40.62593,848
AL,AL.AEF.AQ,NET-AL001A,STA-AL0203A,AL150A01,AL0203A,suburban,SPO-AL0203A_00008_100,SPP-AL_A_chemi_API200E,SPO_F-AL0203A_00008_100_100,-999,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API200E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/chemi,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,NO2,background,EPSG:4979,20.78018,40.62593,848
AL,AL.AEF.AQ,NET-AL001A,STA-AL0203A,AL150A01,AL0203A,suburban,SPO-AL0203A_00009_100,SPP-AL_A_chemi_API200E,SPO_F-AL0203A_00009_100_100,-999,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API200E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/chemi,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/9,NOX as NO2,background,EPSG:4979,20.78018,40.62593,848
AL,AL.AEF.AQ,NET-AL001A,STA-AL0203A,AL150A01,AL0203A,suburban,SPO-AL0203A_00010_100,SPP-AL_A_NDIR_API300E,SPO_F-AL0203A_00010_100_100,-999,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API300E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/NDIR,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,CO,background,EPSG:4979,20.78018,40.62593,848
AL,AL.AEF.AQ,NET-AL001A,STA-AL0203A,AL150A01,AL0203A,suburban,SPO-AL0203A_00020_100,SPP-AL_A_GC-FID_GC955,SPO_F-AL0203A_00020_100_100,-999,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/GC955,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/GC-FID,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20,C6H6,background,EPSG:4979,20.78018,40.62593,848
AL,AL.AEF.AQ,NET-AL001A,STA-AL0203A,AL150A01,AL0203A,suburban,SPO-AL0203A_06001_100,SPP-AL_A_light-scat_GRIMM-EDM180,SPO_F-AL0203A_06001_100_100,-999,noRef,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/GRIMM-EDM180,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/light-scat,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,PM2.5,background,EPSG:4979,20.78018,40.62593,848
AL,AL.AEF.AQ,NET-AL001A,STA-AL0204A,AL110A01,AL0204A,urban,SPO-AL0204A_00001_100,SPP-AL_A_UV-FL_API100E,SPO_F-AL0204A_00001_100_100,-999,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/UV-FL,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,SO2,background,EPSG:4979,19.4862,40.40308999999999,25
AL,AL.AEF.AQ,NET-AL001A,STA-AL0204A,AL110A01,AL0204A,urban,SPO-AL0204A_00005_100,SPP-AL_A_light-scat_GRIMM-EDM180,SPO_F-AL0204A_00005_100_100,-999,noRef,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/GRIMM-EDM180,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/light-scat,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,PM10,background,EPSG:4979,19.4862,40.40308999999999,25
AL,AL.AEF.AQ,NET-AL001A,STA-AL0204A,AL110A01,AL0204A,urban,SPO-AL0204A_00007_100,SPP-AL_A_UV-P_API400E,SPO_F-AL0204A_00007_100_100,-999,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API400E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/UV-P,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,O3,background,EPSG:4979,19.4862,40.40308999999999,25
AL,AL.AEF.AQ,NET-AL001A,STA-AL0204A,AL110A01,AL0204A,urban,SPO-AL0204A_00008_100,SPP-AL_A_chemi_API200E,SPO_F-AL0204A_00008_100_100,-999,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API200E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/chemi,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,NO2,background,EPSG:4979,19.4862,40.40308999999999,25
AL,AL.AEF.AQ,NET-AL001A,STA-AL0204A,AL110A01,AL0204A,urban,SPO-AL0204A_00009_100,SPP-AL_A_chemi_API200E,SPO_F-AL0204A_00009_100_100,-999,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API200E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/chemi,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/9,NOX as NO2,background,EPSG:4979,19.4862,40.40308999999999,25
AL,AL.AEF.AQ,NET-AL001A,STA-AL0204A,AL110A01,AL0204A,urban,SPO-AL0204A_00010_100,SPP-AL_A_NDIR_API300E,SPO_F-AL0204A_00010_100_100,-999,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API300E,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/NDIR,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,CO,background,EPSG:4979,19.4862,40.40308999999999,25
AL,AL.AEF.AQ,NET-AL001A,STA-AL0204A,AL110A01,AL0204A,urban,SPO-AL0204A_00020_100,SPP-AL_A_GC-FID_GC955,SPO_F-AL0204A_00020_100_100,-999,ref,3,-999,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/GC955,automatic,http://dd.eionet.europa.eu/vocabulary/aq/measurementmethod/GC-FID,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20,C6H6,background,EPSG:4979,19.4862,40.40308999999999,25
